,Title,Media,Update,Timestamp,Description,Link,Image,Text
0,Angry flood-hit victims corner Fadnavis in Nagpur,Hindustan Times,6 mins ago,2023-09-25 01:25:54.181935,,https://www.hindustantimes.com/cities/mumbai-news/angry-flood-hit-victims-corner-fadnavis-in-nagpur-101695582353621.html&ved=2ahUKEwi6tPSChcSBAxVcwjgGHTh6CkYQxfQBegQIARAC&usg=AOvVaw0T6sr195LfW9wSc27gfhlO,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","404

The page you are looking for does not exist."
1,Weakening Ophelia still poses a risk of coastal flooding and heavy rain in some parts of the US,Hamilton Spectator,1 hour ago,2023-09-25 00:31:59.549810,,https://www.thespec.com/news/world/united-states/weakening-ophelia-still-poses-a-risk-of-coastal-flooding-and-heavy-rain-in-some-parts/article_ebfc41a5-5616-5e1c-b8cb-43b4475d2971.html&ved=2ahUKEwi6tPSChcSBAxVcwjgGHTh6CkYQxfQBegQIBBAC&usg=AOvVaw0eIP1XoxQrOmhocGiKQc49,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","The page may have moved, you may have mistyped the address, or followed a bad link.

Visit our homepage, or search for whatever you were looking for…"
2,Weakening Ophelia brings more rain and flood risk to U.S. East Coast By Reuters,Investing.com,1 hour ago,2023-09-25 00:31:59.498795,,https://www.investing.com/news/world-news/weakening-ophelia-brings-more-rain-and-flood-risk-to-us-east-coast-3181252&ved=2ahUKEwi6tPSChcSBAxVcwjgGHTh6CkYQxfQBegQICRAC&usg=AOvVaw1ryv-52g79Sn_PToFuM6u1,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data.

What can I do to resolve this?

You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page."
3,Special Report: महाराष्ट्र की दूसरी राजधानी..मुंबई वाली कहानी ! Nagpur Flood 2023 | Maharashta News,YouTube,2 hours ago,2023-09-24 23:31:59.790979,,https://www.youtube.com/watch%3Fv%3D0X2OUfv2Pdw&ved=2ahUKEwi6tPSChcSBAxVcwjgGHTh6CkYQxfQBegQIBhAC&usg=AOvVaw0SoX2OvtaJNB3EWTS8l_ZU,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","This page appears when Google automatically detects requests coming from your computer network which appear to be in violation of the Terms of Service . The block will expire shortly after those requests stop.This traffic may have been sent by malicious software, a browser plug-in, or a script that sends automated requests. If you share your network connection, ask your administrator for help — a different computer using the same IP address may be responsible. Learn more Sometimes you may see this page if you are using advanced terms that robots are known to use, or sending requests very quickly."
4,India Flood Update: भारत में क्यों सैलाबी आफत आई? वैज्ञानिकों ने बड़ी वजह बताई | Rain Alert,YouTube,2 hours ago,2023-09-24 23:31:59.731445,,https://www.youtube.com/watch%3Fv%3DURTZQUarZrw&ved=2ahUKEwi6tPSChcSBAxVcwjgGHTh6CkYQxfQBegQIABAC&usg=AOvVaw2eN0PEbi6nhj9OqwBQ3Crx,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","This page appears when Google automatically detects requests coming from your computer network which appear to be in violation of the Terms of Service . The block will expire shortly after those requests stop.This traffic may have been sent by malicious software, a browser plug-in, or a script that sends automated requests. If you share your network connection, ask your administrator for help — a different computer using the same IP address may be responsible. Learn more Sometimes you may see this page if you are using advanced terms that robots are known to use, or sending requests very quickly."
5,Weakening Ophelia still poses a risk of coastal flooding and heavy rain in some parts of the US,Chicago Tribune,2 hours ago,2023-09-24 23:31:59.691906,,https://www.chicagotribune.com/nation-world/ct-aud-nw-ophelia-storm-sunday-20230924-znfulsviirfklhifvbg2h6eyiy-story.html&ved=2ahUKEwi6tPSChcSBAxVcwjgGHTh6CkYQxfQBegQIBRAC&usg=AOvVaw1ECUMSr0fs1TrD2cltLa_8,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","After being downgraded from a tropical storm, Ophelia on Sunday still posed a risk of coastal flooding and heavy rains from Washington, D.C. to New York City, with coastal flood warnings remaining in effect for parts of the Mid-Atlantic region, the U.S. National Hurricane Center said.

●"
6,"Nagpur Rain | 4, Including Paralysed Woman, Die Due To Flooding In Rain-Hit Nagpur",NDTV,2 hours ago,2023-09-24 23:31:59.629857,,https://www.ndtv.com/video/news/news/nagpur-rain-4-including-paralysed-woman-die-due-to-flooding-in-rain-hit-nagpur-727054&ved=2ahUKEwi6tPSChcSBAxVcwjgGHTh6CkYQxfQBegQIBxAC&usg=AOvVaw1IkNUcAEr3NVLEO3pJspmp,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Four persons, including a 53-year-old bedridden paralysed woman, died due to flooding after heavy rains in Nagpur, police said on Saturday. In the first case, flood water entered the house of Sandhya Dhore and her mother Sayabai Dhore (72) in Surendragadh, leading to relatives managing to rescue the latter while the former was left behind as she could not be moved from her bed, an official said."
7,"World Flood Update: बारिश और तूफ़ान का सितम, कुदरत की मार से पूरी दुनिया बेदम! America | Weather",YouTube,3 hours ago,2023-09-24 22:31:59.874886,,https://www.youtube.com/watch%3Fv%3D-TD2qmtIwM0&ved=2ahUKEwi6tPSChcSBAxVcwjgGHTh6CkYQxfQBegQICBAC&usg=AOvVaw2XMtoBTQSrz1tFVY83C41T,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","This page appears when Google automatically detects requests coming from your computer network which appear to be in violation of the Terms of Service . The block will expire shortly after those requests stop.This traffic may have been sent by malicious software, a browser plug-in, or a script that sends automated requests. If you share your network connection, ask your administrator for help — a different computer using the same IP address may be responsible. Learn more Sometimes you may see this page if you are using advanced terms that robots are known to use, or sending requests very quickly."
8,"Kenton kicked into action after flood, volunteer says",BBC,3 hours ago,2023-09-24 22:31:59.822875,,https://www.bbc.com/news/uk-england-devon-66906465&ved=2ahUKEwi6tPSChcSBAxVcwjgGHTh6CkYQxfQBegQIAxAC&usg=AOvVaw2CUuA3IJ4TYkH0xD3YE5vY,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Sorry, we're unable to bring you the page you're looking for. Please try:"
9,China delivers humanitarian aid to flood-hit Libya,CGTN,4 hours ago,2023-09-24 21:32:00.844737,,https://news.cgtn.com/news/2023-09-24/China-delivers-humanitarian-aid-to-flood-hit-Libya-1nmN2gQN9cY/index.html&ved=2ahUKEwiGm5aGhcSBAxUOzzgGHY_cA9A4ChDF9AF6BAgBEAI&usg=AOvVaw2oxCRz9LL5fBCp05ArS0BZ,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Sorry, we're unable to bring you the page you're looking for. Please try:"
